pk,name,category,direct_parents
10646,St. Helena,other,1059
10647,Topsail Beach,other,1059
10648,Wallace,other,"1059,3254"
10649,Watha,other,1059
10650,Hampstead,other,1059
10651,Rocky Point,other,1059
10652,Surf City,other,"1059,1758"
10653,Burgaw,other,1059
10654,Elizabeth City,other,"1333,1060"
10655,Camden,other,1060
10656,South Mills,other,1060
10657,Coinjock,other,1061
10658,Moyock,other,1061
10659,Grandy,other,1061
10660,Bakersville,other,1062
10661,Spruce Pine,other,1062
10662,Brevard,other,1063
10663,Rosman,other,1063
10664,Solen,other,1064
10665,Selfridge,other,1064
10666,Porcupine,other,1064
10667,Cannon Ball,other,1064
10668,Fort Yates,other,1064
10669,Ray,other,1065
10670,McGregor,other,1065
10671,Springbrook,other,1065
10672,Alamo,other,1065
10673,Long Creek,other,1065
10674,Epping,other,1065
10675,Grenora,other,1065
10676,Williston,other,1065
10677,Wildrose,other,1065
10678,Trenton,other,1065
10679,Tioga,other,1065
10680,Blacktail,other,1065
10681,Wright City,other,1066
10682,Golden,other,1066
10683,Garvin,other,1066
10684,Smithville,other,1066
10685,Idabel,other,1066
10686,Hochatown,other,1066
10687,Broken Bow,other,1066
10688,Haworth,other,1066
10689,Millerton,other,1066
10690,Eagletown,other,1066
10691,Valliant,other,1066
10692,Martha,other,1067
10693,Eldorado,other,1067
10694,East Duke,other,1067
10695,Altus,other,1067
10696,Elmer,other,1067
10697,Blair,other,1067
10698,Olustee,other,1067
10699,Friendship,other,1067
10700,Headrick,other,1067
10701,Wynona,other,1068
10702,Burbank,other,1068
10703,Foraker,other,1068
10704,Prue,other,1068
10705,Sand Springs,other,"1746,1068"
10706,Osage,other,1068
10707,Pershing,other,1068
10708,Whippoorwill,other,1068
10709,Skiatook,other,"1746,1068"
10710,Shidler,other,1068
10711,Pawhuska,other,1068
10712,Grainola,other,1068
10713,Bowring,other,1068
10714,Sperry,other,"1746,1068"
10715,Avant,other,1068
10716,Barnsdall,other,1068
10717,Fairfax,other,1068
10718,Hominy,other,1068
10719,Webb City,other,1068
10720,Nelagoney,other,1068
10721,Tulsa,other,"1746,2862,1126,1068"
10722,Bartlesville,other,"1068,3004"
10723,McCord,other,1068
10724,Westport,other,1069
10725,Cannon Beach,other,1069
10726,Knappa,other,1069
10727,Warrenton,other,1069
10728,Astoria,other,1069
10729,Jeffers Gardens,other,1069
10730,Seaside,other,1069
10731,Gearhart,other,1069
10732,River Point,other,1069
10733,Svensen,other,1069
10734,Semmes,other,1070
10735,Mobile,other,1070
10736,Movico,other,1070
10737,Saraland,other,1070
10738,Bucks,other,1070
10739,Grand Bay,other,1070
10740,Prichard,other,1070
10741,Satsuma,other,1070
10742,Bayou La Batre,other,1070
10743,Citronelle,other,1070
10744,Chunchula,other,1070
10745,Chickasaw,other,1070
10746,Mount Vernon,other,1070
10747,Theodore,other,1070
10748,Axis,other,1070
10749,Gulfcrest,other,1070
10750,Creola,other,1070
10751,Belle Fontaine,other,1070
10752,Calvert,other,"2318,1070"
10753,Tillmans Corner,other,1070
10754,Dauphin Island,other,1070
10755,Riverview,other,1071
10756,Flomaton,other,1071
10757,Brewton,other,1071
10758,East Brewton,other,1071
10759,Pollard,other,1071
10760,Atmore,other,1071
10761,Toxey,other,1072
10762,Silas,other,1072
10763,Gilbertown,other,1072
10764,Butler,other,1072
10765,Pennington,other,1072
10766,Needham,other,1072
10767,Cullomburg,other,"2318,1072"
10768,Lisman,other,1072
10769,Hurtsboro,other,1073
10770,Phenix City,other,"1073,2865"
10771,Ladonia,other,1073
10772,Memphis,other,1074
10773,Reform,other,1074
