pk,name,category,direct_parents
2068,Jefferson,county,29
2069,Clay,county,19
2070,Kiowa,county,20
2071,Estill,county,21
2072,Powell,county,21
2073,Magoffin,county,21
2074,Knott,county,21
2075,Wayne,county,21
2076,Ohio,county,21
2077,Breathitt,county,21
2078,East Baton Rouge,parish,22
2079,Terrell,county,48
2080,Hudspeth,county,48
2081,San Juan,county,49
2082,Box Elder,county,49
2083,Windsor,county,50
2084,Northampton,county,51
2085,Pacific,county,53
2086,Whitman,county,53
2087,Mineral,county,54
2088,Hampshire,county,54
2089,Grant,county,54
2090,Trempealeau,county,55
2091,Crawford,county,55
2092,Bayfield,county,55
2093,White,county,5
2094,Yolo,county,6
2095,Napa,county,6
2096,Stanislaus,county,6
2097,Tuolumne,county,6
2098,Mariposa,county,6
2099,Eagle,county,8
2100,Clear Creek,county,8
2101,Jackson,county,13
2102,DeKalb,county,13
2103,Union,county,13
2104,Bulloch,county,13
2105,Baker,county,13
2106,Bannock,county,16
2107,Lewis,county,16
2108,Blaine,county,16
2109,Clinton,county,18
2110,Jackson,county,18
2111,Calhoun,county,45
2112,Meade,county,46
2113,Ziebach,county,46
2114,Wilson,county,47
2115,Dyer,county,47
2116,Moore,county,47
2117,Haskell,county,48
2118,Brazos,county,48
2119,Bee,county,48
2120,Midland,county,48
2121,Jackson,county,48
2122,Lee,county,48
2123,San Augustine,county,48
2124,Baylor,county,48
2125,Crockett,county,48
2126,Stearns,county,27
2127,Douglas,county,27
2128,Morrison,county,27
2129,Leflore,county,28
2130,DeKalb,county,29
2131,Schuyler,county,29
2132,York,county,31
2133,Garden,county,31
2134,Jackson,county,37
2135,Halifax,county,37
2136,Ontario,county,36
2137,Orange,county,12
2138,Yakutat,borough,2
2139,Citrus,county,12
2140,Benton,county,5
2141,Siskiyou,county,6
2142,New Haven,county,9
2143,Mineral,county,30
2144,Gallatin,county,30
